"scorer","toe_x","toe_y","toe_p","center_x","center_y","center_p","heel_x","heel_y","heel_p","objecta_x","objecta_y","objecta_p","objectb_x","objectb_y","objectb_p"
"bodyparts","toe","toe","toe","center","center","center","heel","heel","heel","objecta","objecta","objecta","objectb","objectb","objectb"
"coords","x","y","likelihood","x","y","likelihood","x","y","likelihood","x","y","likelihood","x","y","likelihood"
"42","251.940490722656","513.783874511719","0.516841769218445","222.05143737793","511.869384765625","0.743978261947632","168.025436401367","505.814819335938","0.685907542705536","22.1020069122314","260.168273925781","0.899997889995575","22.1903514862061","519.820373535156","0.931557834148407"
"43","251.9208984375","513.784484863281","0.506117165088654","222.073867797852","511.877960205078","0.737563669681549","167.921051025391","504.281829833984","0.692562997341156","22.1153602600098","260.166107177734","0.892463803291321","22.1776638031006","519.819458007812","0.933205604553223"
"44","251.950592041016","513.800048828125","0.5263991355896","222.102066040039","511.889068603516","0.761367082595825","167.913070678711","504.290985107422","0.696800291538239","22.1174335479736","260.1796875","0.899448812007904","22.171968460083","519.81494140625","0.93787157535553"
"45","251.937454223633","513.776428222656","0.537053644657135","222.092315673828","511.872680664062","0.765642881393433","167.925598144531","504.294189453125","0.706652760505676","22.1113681793213","260.168029785156","0.898155152797699","22.1643505096436","519.812805175781","0.934143304824829"
"46","251.937530517578","513.799499511719","0.541892528533936","222.120330810547","511.880218505859","0.761664390563965","167.928421020508","504.246124267578","0.70911455154419","22.1006450653076","260.176513671875","0.897382915019989","22.1596641540527","519.822631835938","0.938863456249237"
"47","251.951248168945","513.796203613281","0.519787907600403","222.106704711914","511.876342773438","0.758538782596588","167.940139770508","504.25732421875","0.713201105594635","22.1080379486084","260.182678222656","0.900080680847168","22.180793762207","519.826049804688","0.931472539901733"
"48","251.950225830078","513.795349121094","0.524057269096375","222.115097045898","511.869720458984","0.756438434123993","168.044311523438","505.819152832031","0.6885706782341","22.1259365081787","260.153839111328","0.906096637248993","22.1764659881592","519.81396484375","0.93416690826416"
"49","251.946868896484","513.787353515625","0.534634828567505","222.112869262695","511.857971191406","0.746294856071472","167.972549438477","504.290008544922","0.700680136680603","22.1083469390869","260.162139892578","0.901333510875702","22.1858863830566","519.820678710938","0.931630432605743"
"50","251.936080932617","513.790771484375","0.546852290630341","222.107955932617","511.871459960938","0.755714535713196","167.93505859375","504.278961181641","0.704448878765106","22.106086730957","260.166442871094","0.900805413722992","22.1858253479004","519.817504882812","0.933145999908447"
"51","251.970840454102","513.796325683594","0.541654109954834","222.1474609375","511.861267089844","0.761574268341064","167.91357421875","504.259338378906","0.70778626203537","22.1243572235107","260.180389404297","0.903432965278625","22.1782627105713","519.833862304688","0.932690799236298"
